カタカナ語,日本語
モータリゼーション,車社会化
モチベーション,動機付け
モニタリング,継続監視
モビリティー,移動性
モラトリアム,猶予
モラルハザード,倫理崩壊
ユーザー,利用者
ユーザビリティ,ユーザーの使いやすさ
ユニバーサルサービス,全国一律サービス
ユニバーサルデザイン,万人向け設計
ライフサイクル,生涯過程
ライフライン,生活線
ライブラリー,図書館
リアルタイム,即時
リードタイム,事前所要時間
リーフレット,ちらし
リスク,危険度
リスクヘッジ,対策
リスケ,日程変更
リスケジュール,納期の延長
リスペクト,尊敬
リソース,経営資源
リターナブル,回収再使用
リデュース,ごみ発生抑制
リテラシー,能力
リニューアル,刷新
リバイズ,改訂
リバウンド,揺り戻し
リマインド,思い出すの
リユース,再使用
リリース,発表
レシピエント,移植患者
レスポンス,返答
ロードプライシング,道路課金
ロードマップ,進め方
ローンチ,少ししかないものの、種類が豊富なもの
ログイン,接続開始
ワーキンググループ,作業部会
ワークシェアリング,仕事の分かち合い
ワークショップ,研究集会
ワークライフバランス,仕事と生活の調和
ワンストップ,一箇所
ASAP,なるべく早く
B to B,企業向けビジネス
B to C,消費者向けビジネス
KPI,目標達成度
